Admin2,Combined Key,Country Region,Last Update,Lat,Long,Province State,Table Name,Active,Case Fatality Ratio,Confirmed,Deaths,Incident Rate,Recovered,Selector
,Afghanistan,Afghanistan,2/1/2021,33.93911,67.709953,,covid_0.csv,4944,4.361812333,55023,2400,141.344322893,47679,2400
,Albania,Albania,2/1/2021,41.1533,20.1683,,covid_0.csv,29323,1.766354781,78127,1380,2714.816874001,47424,1380
,Algeria,Algeria,2/1/2021,28.0339,1.6596,,covid_0.csv,31104,2.693336066,107339,2891,244.780950820,73344,2891
,Andorra,Andorra,2/1/2021,42.5063,1.5218,,covid_0.csv,743,1.016403341,9937,101,12860.933152139,9093,101
,Angola,Angola,2/1/2021,-11.2027,17.8739,,covid_0.csv,1295,2.354010911,19796,466,60.231967925,18035,466
,Antigua and Barbuda,Antigua and Barbuda,2/1/2021,17.0608,-61.7964,,covid_0.csv,50,2.991452991,234,7,238.951066089,177,7
,Argentina,Argentina,2/1/2021,-38.4161,-63.6167,,covid_0.csv,157615,2.489260543,1927239,47974,4264.201498295,1721650,47974
,Armenia,Armenia,2/1/2021,40.0691,45.0382,,covid_0.csv,6427,1.844024284,167026,3080,5636.611890927,157519,3080
,"Australian Capital Territory, Australia",Australia,2/1/2021,-35.4735,149.0124,Australian Capital Territory,covid_0.csv,0,2.542372881,118,3,27.563653352,115,3
,"New South Wales, Australia",Australia,2/1/2021,-33.8688,151.2093,New South Wales,covid_0.csv,1800,1.056751468,5110,54,62.946538556,0,54
,"Northern Territory, Australia",Australia,2/1/2021,-12.4634,130.8456,Northern Territory,covid_0.csv,5,0,98,0,39.902280130,93,0
,"Queensland, Australia",Australia,2/1/2021,-27.4698,153.0251,Queensland,covid_0.csv,9,0.458015267,1310,6,25.608444922,1295,6
,"South Australia, Australia",Australia,2/1/2021,-34.9285,138.6007,South Australia,covid_0.csv,0,0.671140940,596,4,33.931113009,592,4
,"Tasmania, Australia",Australia,2/1/2021,-42.8821,147.3272,Tasmania,covid_0.csv,0,5.555555556,234,13,43.697478992,221,13
,"Victoria, Australia",Australia,2/1/2021,-37.8136,144.9631,Victoria,covid_0.csv,21,4.009976038,20449,820,308.436024676,19608,820
,"Western Australia, Australia",Australia,2/1/2021,-31.9505,115.8605,Western Australia,covid_0.csv,13,0.996677741,903,9,34.326769558,881,9
,Austria,Austria,2/1/2021,47.5162,14.5501,,covid_0.csv,14180,1.863184668,414398,7721,4601.150293125,392497,7721
,Azerbaijan,Azerbaijan,2/1/2021,40.1431,47.5769,,covid_0.csv,3772,1.360443751,230219,3132,2270.589076527,223315,3132
,Bahamas,Bahamas,2/1/2021,25.025885,-78.035889,,covid_0.csv,1227,2.153168583,8174,176,2078.586540809,6771,176
,Bahrain,Bahrain,2/1/2021,26.0275,50.55,,covid_0.csv,4083,0.363876301,103057,375,6056.536766058,98599,375
,Bangladesh,Bangladesh,2/1/2021,23.685,90.3563,,covid_0.csv,47268,1.518670850,535139,8127,324.938372014,479744,8127
,Barbados,Barbados,2/1/2021,13.1939,-59.5432,,covid_0.csv,373,0.906148867,1545,14,537.632537730,1158,14
,Belarus,Belarus,2/1/2021,53.7098,27.9534,,covid_0.csv,10780,0.691804652,248336,1718,2628.083012525,235838,1718
,"Antwerp, Belgium",Belgium,2/1/2021,51.2195,4.4024,Antwerp,covid_0.csv,88595,0,88595,0,4768.335175830,0,0
,"Brussels, Belgium",Belgium,2/1/2021,50.8503,4.3517,Brussels,covid_0.csv,88216,0,88216,0,7299.373956387,0,0
,"East Flanders, Belgium",Belgium,2/1/2021,51.0362,3.7373,East Flanders,covid_0.csv,73726,0,73726,0,4866.197071543,0,0
,"Flemish Brabant, Belgium",Belgium,2/1/2021,50.9167,4.5833,Flemish Brabant,covid_0.csv,54243,0,54243,0,4732.523393025,0,0
,"Hainaut, Belgium",Belgium,2/1/2021,50.5257,4.0621,Hainaut,covid_0.csv,109249,0,109249,0,8127.188502657,0,0
,"Liege, Belgium",Belgium,2/1/2021,50.4496,5.8492,Liege,covid_0.csv,101631,0,101631,0,9180.825155015,0,0
,"Limburg, Belgium",Belgium,2/1/2021,50.9739,5.342,Limburg,covid_0.csv,34654,0,34654,0,3964.770813502,0,0
,"Luxembourg, Belgium",Belgium,2/1/2021,50.0547,5.4677,Luxembourg,covid_0.csv,20009,0,20009,0,7029.630618540,0,0
,"Namur, Belgium",Belgium,2/1/2021,50.331,4.8221,Namur,covid_0.csv,37579,0,37579,0,7602.083649421,0,0
,"Unknown, Belgium",Belgium,2/1/2021,,,Unknown,covid_0.csv,-8475,167.171276849,12617,21092,,0,21092
,"Walloon Brabant, Belgium",Belgium,2/1/2021,50.4,4.35,Walloon Brabant,covid_0.csv,27442,0,27442,0,6799.323090493,0,0
,"West Flanders, Belgium",Belgium,2/1/2021,51.0536,3.1458,West Flanders,covid_0.csv,62192,0,62192,0,5200.887107834,0,0
,Belize,Belize,2/1/2021,17.1899,-88.4976,,covid_0.csv,298,2.527712462,11908,301,2994.811642242,11309,301
,Benin,Benin,2/1/2021,9.3077,2.3158,,covid_0.csv,420,1.335730799,3893,52,32.111988932,3421,52
,Bhutan,Bhutan,2/1/2021,27.5142,90.4336,,covid_0.csv,44,0.116414435,859,1,111.325381150,814,1
,Bolivia,Bolivia,2/1/2021,-16.2902,-63.5887,,covid_0.csv,47234,4.786588881,216835,10379,1857.572700282,159222,10379
